# start: [7.3738686  0.75035135]mm
# end: [ 7.3738686 19.7893869]mm
# mode: density_graph
# distance (mm),	plasma density (cm^-3)
7.439940925500492241e-01 8.002661866498158080e+17
7.502461437479488460e-01 7.999202821426379520e+17
7.564981949458483568e-01 7.995743775189415680e+17
7.627502461437479786e-01 7.992284729110732800e+17
7.690022973416474894e-01 7.988825682728719360e+17
7.752543485395471112e-01 7.985366637717016320e+17
7.815063997374466220e-01 7.981907591104783360e+17
7.877584509353462439e-01 7.978448544938311680e+17
7.940105021332457547e-01 7.974989499057168640e+17
8.002625533311453765e-01 7.971530453921848320e+17
8.065146045290449983e-01 7.967914142432839680e+17
8.127666557269445091e-01 7.957746454129571840e+17
8.190187069248441309e-01 7.938129154163024640e+17
8.252707581227436417e-01 7.919974513694191360e+17
8.315228093206432636e-01 7.912120738088679680e+17
8.377748605185427744e-01 7.906349733719902720e+17
8.440269117164423962e-01 7.901833758055868160e+17
8.502789629143419070e-01 7.897317781310051840e+17
8.565310141122415288e-01 7.892801803579141120e+17
8.627830653101411507e-01 7.888285826802821120e+17
8.690351165080406615e-01 7.883769850872739840e+17
8.752871677059402833e-01 7.879171476005157120e+17
8.815392189038397941e-01 7.870834287448824320e+17
8.877912701017394159e-01 7.862497099506736640e+17
8.940433212996389267e-01 7.854159912715299840e+17
9.002953724975385486e-01 7.846469610209731840e+17
9.065474236954381704e-01 7.869575705048160000e+17
9.127994748933376812e-01 7.892681798916915200e+17
9.190515260912373030e-01 7.915787891090585600e+17
9.253035772891368138e-01 7.938893984632439040e+17
9.315556284870364356e-01 7.962000079471815680e+17
9.378076796849359464e-01 7.985106173342310400e+17
9.440597308828355683e-01 8.008212265539914240e+17
9.503117820807351901e-01 8.031321021214247680e+17
9.565638332786347009e-01 8.054572231496494080e+17
9.628158844765343227e-01 8.077926634294435840e+17
9.690679356744338335e-01 8.101072254743790080e+17
9.753199868723334554e-01 8.124217875785290240e+17
9.815720380702329662e-01 8.147363496984234240e+17
9.878240892681325880e-01 8.170509118825546240e+17
9.940761404660320988e-01 8.193654738375787520e+17
1.000328191663931721e+00 8.216800359577487360e+17
1.006580242861831342e+00 8.239945980582845440e+17
1.012832294059730964e+00 8.263091602856454400e+17
1.019084345257630364e+00 8.286237221986899200e+17
1.025336396455529986e+00 8.309382843244175360e+17
1.031588447653429608e+00 8.332528465425670400e+17
1.037840498851329230e+00 8.355674086668052480e+17
1.044092550049228629e+00 8.378819707892704000e+17
1.050344601247128251e+00 8.401965327960313600e+17
1.056596652445027873e+00 8.425110949202693120e+17
1.062848703642927495e+00 8.448256570458554880e+17
1.069100754840827117e+00 8.471402192611665920e+17
1.075352806038726516e+00 8.494547811737328640e+17
1.081604857236626138e+00 8.517693432979713280e+17
1.087856908434525760e+00 8.540839054234629120e+17
1.094108959632425382e+00 8.563984676390809600e+17
1.100361010830325004e+00 8.587130295514346240e+17
1.106613062028224403e+00 8.610275916768554240e+17
1.112865113226124025e+00 8.633421538953120000e+17
1.119117164424023647e+00 8.656567160169950720e+17
1.125369215621923269e+00 8.679712779302483200e+17
1.131621266819822669e+00 8.702858401487759360e+17
1.137873318017722291e+00 8.726004022730138880e+17
1.144125369215621912e+00 8.749149643959507200e+17
1.150377420413521534e+00 8.772274892767545600e+17
1.156629471611421156e+00 8.793484467260474880e+17
1.162881522809320556e+00 8.812174553798170880e+17
1.169133574007220178e+00 8.830864639572165120e+17
1.175385625205119799e+00 8.849554726260472320e+17
1.181637676403019421e+00 8.868244809906607360e+17
1.187889727600918821e+00 8.886934896446673920e+17
1.194141778798818443e+00 8.905624982389286400e+17
1.200393829996718065e+00 8.924312398127572480e+17
1.206645881194617687e+00 8.942766367972040960e+17
1.212897932392517308e+00 8.969599640029137920e+17
1.219149983590416708e+00 8.996432911488960000e+17
1.225402034788316330e+00 9.023266183701166080e+17
1.231654085986215952e+00 9.050099453029308160e+17
1.237906137184115574e+00 9.076932725087009280e+17
1.244158188382014973e+00 9.103768361874255360e+17
1.250410239579914595e+00 9.130953819183729920e+17
1.256662290777814217e+00 9.159930371446456320e+17
1.262914341975713839e+00 9.190003073843782400e+17
1.269166393173613461e+00 9.220075777971546880e+17
1.275418444371512861e+00 9.250148479417457920e+17
1.281670495569412482e+00 9.280219475719025920e+17
1.287922546767312104e+00 9.309971780343340800e+17
1.294174597965211726e+00 9.338170997011975680e+17
1.300426649163111126e+00 9.366371035843175680e+17
1.306678700361010748e+00 9.394745688569963520e+17
1.312930751558910369e+00 9.423397793120770560e+17
1.319182802756809991e+00 9.452049899003956480e+17
1.325434853954709613e+00 9.480702003844222720e+17
1.331686905152609013e+00 9.509354109901134080e+17
1.337938956350508635e+00 9.538005767577379840e+17
1.344191007548408257e+00 9.566519009928192000e+17
1.350443058746307878e+00 9.594757009114512640e+17
1.356695109944207500e+00 9.622995005603744000e+17
1.362947161142106900e+00 9.651233004791528960e+17
1.369199212340006522e+00 9.679471001333637120e+17
1.375451263537906144e+00 9.707709000055043840e+17
1.381703314735805765e+00 9.735946996268664320e+17
1.387955365933705165e+00 9.764184995009440000e+17
1.394207417131604787e+00 9.792422993981534720e+17
1.400459468329504409e+00 9.820660990054298880e+17
1.406711519527404031e+00 9.848898989028637440e+17
1.412963570725303653e+00 9.877136986661460480e+17
1.419215621923203052e+00 9.905374984433720320e+17
1.425467673121102674e+00 9.933612981497004800e+17
1.431719724319002296e+00 9.961850979398216960e+17
1.437971775516901918e+00 9.990088976013373440e+17
1.444223826714801318e+00 1.001832697568230400e+18
1.450475877912700939e+00 1.004656497325265920e+18
1.456727929110600561e+00 1.007480297021324928e+18
1.462979980308500183e+00 1.010304096812547712e+18
1.469232031506399805e+00 1.013127896649675136e+18
1.475484082704299205e+00 1.015951696441127680e+18
1.481736133902198826e+00 1.018775496087692032e+18
1.487988185100098448e+00 1.021599295996416512e+18
1.494240236297998070e+00 1.024423095686884992e+18
1.500492287495897692e+00 1.027246895433691648e+18
1.506744338693797092e+00 1.030415493506121728e+18
1.512996389891696714e+00 1.033740783880430464e+18
1.519248441089596335e+00 1.037097721380680960e+18
1.525500492287495957e+00 1.040454774428573184e+18
1.531752543485395357e+00 1.043811827438625408e+18
1.538004594683294979e+00 1.047168880590947968e+18
1.544256645881194601e+00 1.050525933601507584e+18
1.550508697079094222e+00 1.053882986650053888e+18
1.556760748276993844e+00 1.057240039485303808e+18
1.563012799474893244e+00 1.060597092636529920e+18
1.569264850672792866e+00 1.063483145287425536e+18
1.575516901870692488e+00 1.063158540939475712e+18
1.581768953068592110e+00 1.062814825065539712e+18
1.588021004266491509e+00 1.062471109011980288e+18
1.594273055464391131e+00 1.062127392972215936e+18
1.600525106662290753e+00 1.061674326345981824e+18
1.606777157860190375e+00 1.061133040004956928e+18
1.613029209058089997e+00 1.060591122768045056e+18
1.619281260255989396e+00 1.060049205530073472e+18
1.625533311453889018e+00 1.059507288292101888e+18
1.631785362651788640e+00 1.058965371196030592e+18
1.638037413849688262e+00 1.058423453959260672e+18
1.644289465047587662e+00 1.057881536721288704e+18
1.650541516245487283e+00 1.057339619625111296e+18
1.656793567443386905e+00 1.056797702388447488e+18
1.663045618641286527e+00 1.056141457470780288e+18
1.669297669839186149e+00 1.055465079117636096e+18
1.675549721037085549e+00 1.054788515492947072e+18
1.681801772234985171e+00 1.054111951778815488e+18
1.688053823432884792e+00 1.053435388072301824e+18
1.694305874630784414e+00 1.052870471706861568e+18
1.700557925828683814e+00 1.052928228454187520e+18
1.706809977026583436e+00 1.052734652391635712e+18
1.713062028224483058e+00 1.052538172634347520e+18
1.719314079422382679e+00 1.052341692877058944e+18
1.725566130620282301e+00 1.052358471359880704e+18
1.731818181818181701e+00 1.051413238867838208e+18
1.738070233016081323e+00 1.050708291894885376e+18
1.744322284213980945e+00 1.050258549311615488e+18
1.750574335411880567e+00 1.049812025174632320e+18
1.756826386609780188e+00 1.049152509772569344e+18
1.763078437807679588e+00 1.048490166545654016e+18
1.769330489005579210e+00 1.047827823299015040e+18
1.775582540203478832e+00 1.047165480073365248e+18
1.781834591401378454e+00 1.046503136848014720e+18
1.788086642599277853e+00 1.045727255404864000e+18
1.794338693797177475e+00 1.045461506229886208e+18
1.800590744995077097e+00 1.045407996088347392e+18
1.806842796192976719e+00 1.045357567979291776e+18
1.813094847390876341e+00 1.045307140223927552e+18
1.819346898588775741e+00 1.045256712309806208e+18
1.825598949786675362e+00 1.045206284200895488e+18
1.831851000984574984e+00 1.045350871625092864e+18
1.838103052182474606e+00 1.044530654364724480e+18
1.844355103380374006e+00 1.043694375260657152e+18
1.850607154578273628e+00 1.042858096070619392e+18
1.856859205776173249e+00 1.041885101799129856e+18
1.863111256974072871e+00 1.040795833584653568e+18
1.869363308171972493e+00 1.039704558809101184e+18
1.875615359369871893e+00 1.038613283778044800e+18
1.881867410567771515e+00 1.037522008958695040e+18
1.888119461765671137e+00 1.036430733962315520e+18
1.894371512963570758e+00 1.035339459009160832e+18
1.900623564161470380e+00 1.034248184226512256e+18
1.906875615359369780e+00 1.033156909191879168e+18
1.913127666557269402e+00 1.032468817540811776e+18
1.919379717755169024e+00 1.032594821006712320e+18
1.925631768953068645e+00 1.032736891819953024e+18
1.931883820150968045e+00 1.032923487858872064e+18
1.938135871348867667e+00 1.033132176311301504e+18
1.944387922546767289e+00 1.032334617356370688e+18
1.950639973744666911e+00 1.031515956008066304e+18
1.956892024942566533e+00 1.030697294713657600e+18
1.963144076140465932e+00 1.029611819610353152e+18
1.969396127338365554e+00 1.028520544529612672e+18
1.975648178536265176e+00 1.027429269741691392e+18
1.981900229734164798e+00 1.026337994916520320e+18
1.988152280932064198e+00 1.025246719803037696e+18
1.994404332129963819e+00 1.024155444972947584e+18
2.000656383327863441e+00 1.023867686248294400e+18
2.006908434525763063e+00 1.024000298231720576e+18
2.013160485723662685e+00 1.024142369056700928e+18
2.019412536921562307e+00 1.024417543007619840e+18
2.025664588119461929e+00 1.024226963831813376e+18
2.031916639317361106e+00 1.023423101710484992e+18
2.038168690515260728e+00 1.022604440306826240e+18
2.044420741713160350e+00 1.021697133758444032e+18
2.050672792911059972e+00 1.020610355285883136e+18
2.056924844108959594e+00 1.019519080490776064e+18
2.063176895306859215e+00 1.018427805617541504e+18
2.069428946504758837e+00 1.017336530686197248e+18
2.075680997702658459e+00 1.015750140604745600e+18
2.081933048900558081e+00 1.014150674094214016e+18
2.088185100098457259e+00 1.011405533686883200e+18
2.094437151296356880e+00 1.008629536199609472e+18
2.100689202494256502e+00 1.005853538897993472e+18
2.106941253692156124e+00 1.003656849444698880e+18
2.113193304890055746e+00 1.002200167994260864e+18
2.119445356087955368e+00 1.000763742123235584e+18
2.125697407285854990e+00 9.993273160440163840e+17
2.131949458483754611e+00 9.981467251407438080e+17
2.138201509681654233e+00 9.958483224739129600e+17
2.144453560879553411e+00 9.933726536290606080e+17
2.150705612077453033e+00 9.908927495925826560e+17
2.156957663275352655e+00 9.883170050098867200e+17
2.163209714473252276e+00 9.855467713835325440e+17
2.169461765671151898e+00 9.827707739018759680e+17
2.175713816869051520e+00 9.799947764146023680e+17
2.181965868066951142e+00 9.772187791123726080e+17
2.188217919264850764e+00 9.744427816308577280e+17
2.194469970462750386e+00 9.716667841435840000e+17
2.200722021660650007e+00 9.688907868412124160e+17
2.206974072858549185e+00 9.661147893598392320e+17
2.213226124056448807e+00 9.633387920573729280e+17
2.219478175254348429e+00 9.605627945760944640e+17
2.225730226452248051e+00 9.577867970888206080e+17
2.231982277650147672e+00 9.551622789286018560e+17
2.238234328848047294e+00 9.534513977971385600e+17
2.244486380045946916e+00 9.517707194198379520e+17
2.250738431243846538e+00 9.500900412557463040e+17
2.256990482441746160e+00 9.484093629143086080e+17
2.263242533639645337e+00 9.468624427249041920e+17
2.269494584837544959e+00 9.448154160763123200e+17
2.275746636035444581e+00 9.422973220734044160e+17
2.281998687233344203e+00 9.397634295221800960e+17
2.288250738431243825e+00 9.372295367949390080e+17
2.294502789629143447e+00 9.346956440611833600e+17
2.300754840827043068e+00 9.319280347844311040e+17
2.307006892024942690e+00 9.291520373038135040e+17
2.313258943222842312e+00 9.263760400005917440e+17
2.319510994420741490e+00 9.236000425200688640e+17
2.325763045618641112e+00 9.208240450327951360e+17
2.332015096816540733e+00 9.180480477294318080e+17
2.338267148014440355e+00 9.152291150212359680e+17
2.344519199212339977e+00 9.123802428943528960e+17
2.350771250410239599e+00 9.096178441978824960e+17
2.357023301608139221e+00 9.068587737165790720e+17
2.363275352806038843e+00 9.040997033799393280e+17
2.369527404003938464e+00 9.013406328987132160e+17
