,EKSPLA diode,Faraday,4-frame 56A,4-frame 56B,Return Rogowski ROGA,Return Rogowski ROGB,,
-2038.8,0,-0.053,-0.062,-0.062,-0.094,-0.047,-0.016,0.019
-2037.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2036.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2035.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2034.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2033.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2032.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2031.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2030.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2029.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2028.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2027.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2026.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2025.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2024.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2023.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2022.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2021.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2020.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2019.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2018.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2017.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2016.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2015.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-2014.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,0.019
-2013.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2012.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-2011.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2010.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2009.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2008.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2007.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2006.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-2005.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2004.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2003.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2002.8,0,-0.053,-0.062,-0.062,-0.047,-0.094,0,-0.012
-2001.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2000.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-1999.8,0,-0.053,-0.062,-0.062,-0.094,-0.047,-0.016,-0.012
-1998.8,0,-0.053,-0.062,-0.062,-0.094,-0.047,0,-0.012
-1997.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1996.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1995.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1994.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1993.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1992.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1991.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1990.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-1989.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1988.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1987.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1986.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1985.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1984.8,0,-0.053,-0.25,-0.25,-0.094,-0.094,0,-0.012
-1983.8,0,-0.053,-0.25,-0.25,-0.094,-0.094,-0.016,-0.012
-1982.8,0,-0.053,-0.25,-0.25,-0.094,-0.094,-0.016,-0.012
-1981.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1980.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1979.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1978.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1977.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1976.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1975.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1974.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1973.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1972.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1971.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1970.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1969.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1968.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1967.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1966.8,0,-0.1,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1965.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1964.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1963.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1962.8,0,-0.053,-0.062,-0.062,-0.094,-0.047,-0.016,-0.012
-1961.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-1960.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-1959.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-1958.8,0,-0.053,-0.062,-0.062,-0.047,-0.094,-0.016,-0.012
-1957.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1956.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1955.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1954.8,0,-0.053,-0.25,-0.062,-0.047,-0.047,-0.016,-0.012
-1953.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1952.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1951.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1950.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1949.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1948.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1947.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1946.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1945.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1944.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1943.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1942.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1941.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1940.8,0,-0.1,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1939.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1938.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,0.019
-1937.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1936.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1935.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1934.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1933.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1932.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1931.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1930.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1929.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1928.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1927.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1926.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1925.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1924.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1923.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1922.8,0,-0.053,-0.25,-0.062,-0.047,-0.047,-0.016,-0.012
-1921.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1920.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1919.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1918.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1917.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1916.8,0,-0.1,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1915.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1914.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,0.019
-1913.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1912.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1911.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1910.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1909.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1908.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1907.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1906.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1905.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1904.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1903.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1902.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1901.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1900.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1899.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1898.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1897.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1896.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1895.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1894.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1893.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1892.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1891.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1890.8,0,-0.053,-0.25,-0.062,-0.047,-0.047,-0.016,0.019
-1889.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1888.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1887.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1886.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1885.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1884.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1883.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1882.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1881.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1880.8,0,-0.053,-0.25,-0.062,-0.047,-0.094,-0.016,-0.012
-1879.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.044
-1878.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,0.019
-1877.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1876.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1875.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.044
-1874.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,0.019
-1873.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1872.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1871.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1870.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1869.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1868.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-1867.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1866.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-1865.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1864.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1863.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1862.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1861.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1860.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1859.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1858.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1857.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1856.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1855.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1854.8,0,-0.053,-0.25,-0.25,-0.094,-0.094,-0.016,-0.012
-1853.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1852.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1851.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1850.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1849.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1848.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1847.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1846.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1845.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-1844.8,0,-0.1,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
